Name,Score,Weight
Angie Harmon,5.45352941176,3.4
Billy Lombardo,6.06,0.5
Isaac Kappy,5.65,0.5
Eijiro Ozaki,6.7,0.5
Isiah Murert,5.28,0.5
Matthew Whittet,6.6,0.5
Nicholas Turturro,5.24333333333,3.0
Grant Glendinning,6.47,0.5
Parul Shah,5.16,0.5
Andrew Garman,6.5,0.5
Brian Bremer,5.65,1.0
Krysten Ritter,3.96158371041,13.26
Andrew Caldwell,4.9,5.48
Hugh Mitchell,5.92,1.9
Lindy Laub,5.48,1.3
Kevin Chamberlin,6.17,1.0
Walt MacPherson,6.32,1.0
Richard Noyce,5.81,0.5
Peter Donat,6.34117647059,3.4
Jeanne Balibar,4.97,0.5
Mike Ditka,5.52,1.9
Wendy Raquel Robinson,5.15705882353,7.48
Richard Gephardt,7.28,0.5
Brooke Smith,5.27,0.5
Louise J. Taylor,6.34,0.5
Bernie Friedman,5.74,0.5
Kayzie Rogers,5.42,0.5
Deirdre Costello,7.02,0.5
Sandra Love Aldridge,4.86,0.5
Arabella Holzbog,5.33,1.9
Nelson Vargas,4.79,0.5
David Zayas,5.75666666667,1.5
Zvee Scooler,6.72,0.5
Shea Pepe,5.78,0.5
Jai Winding,5.83,0.5
Mary Kay Place,6.02273021002,12.38
Majid Majidi,7.29,4.8
John Terry,5.64477272727,4.4
Sidney Dawson,6.87,0.5
Daniel Weber,4.52,0.5
Rochelle Dewberry,5.27,0.5
Paul Dehn,6.08666666667,3.9
Rafael Bez,6.085,1.0
Dean Cameron,5.38083333333,2.4
Michael Guess,5.68,0.5
Richie Sambora,4.26,0.5
Gil Perkins,7.09,0.5
Ian Patrick Williams,5.64,1.0
John Friedrich,5.38,0.5
Lorene Scafaria,6.11950819672,6.1
Callum McLean,6.13,0.5
Ray Galletti,5.23875,2.4
Carly Pope,5.46666666667,1.5
Chance Michael Corbitt,5.645,1.0
Rhys Ifans,5.45114624506,15.18
J.D. Cannon,5.64958333333,2.4
Natsuko Ohama,6.78,0.5
Russel Case,5.44,1.0
Jamie Farr,6.39,0.5
Richard Crenna,6.00039296794,19.34
Mia Cottet,5.24,0.5
Gordon Hatfield,4.79,0.5
Charles Bail,6.56,0.5
Jacob Rupp,5.62,0.5
Fernando Becerril,5.7,1.0
Jon Voight,6.252095205,57.56
Deborah Odell,4.97,0.5
Charles Levin,5.87,0.5
Nicholas Clark,7.04,0.5
Scott Hazell,5.65,5.48
Andrew Cassese,6.44,1.9
Ulf Friberg,6.76,0.5
Jeff Morris,5.85,1.5
Franchesca Clifford,6.91,0.5
Robert Dillon,5.02333333333,3.9
Jessalyn Gilsig,5.44434782609,5.98
Jolene Purdy,6.43,0.5
Rome Neal,5.67,0.5
Mason Gamble,5.56512820513,3.9
Pat Moran,6.45,0.5
Larry Gelbart,6.32,2.6
Terrence Jenkins,6.29,0.5
Heather Stephens,5.28,0.5
Hermione Baddeley,6.58,0.5
Sal Viscuso,6.41,0.5
Pasha Ebrahimi,5.47,5.48
Michael Weston,4.91456570156,8.98
Harvey Stephens,6.69,0.5
Janet Montgomery,7.36,0.5
David Edgar,5.03,1.3
Christopher Walken,6.02579131303,80.12
Megan Maczko,5.42,1.9
Sam Scarber,5.66541666667,2.4
Ori Pfeffer,5.33,0.5
Ana Mena,6.23,0.5
Brian Taggert,4.91,1.3
Vlas Parlapanides,5.86,1.3
Emma James,4.69,0.5
John Worsham,7.58,0.5
Wai Shum,6.9,0.5
Edouard Montoute,5.47,0.5
Ryan Kruger,5.53,0.5
Clint Howard,5.064375,6.4
Toby Froud,6.26,1.9
Burgess Meredith,5.68703703704,5.4
Marcia Dangerfield,4.59,0.5
Caroline Schlobohm,5.19,0.5
Lara Lindsay,6.44,0.5
Hope Olaide Wilson,4.73,0.5
Jermaine 'Huggy' Hopkins,6.53,1.9
Dyllan Christopher,4.66791666667,2.4
Jos Gerardo Zamora Jr.,6.4,0.5
Tim Cariker,6.24,0.5
Ernesto Quintero,6.35,0.5
Eleanor Brown,6.69,0.5
Ricky Rene,7.17,0.5
Avil Williams,7.29,0.5
Gerardo Vigil,6.1,0.5
Steven Zaillian,6.08790540541,14.8
Matt Cooke,4.5,0.5
Jack Hedley,6.22,0.5
Alan Freedland,6.19,1.3
Tom Towles,5.73755102041,4.9
Francine McDougall,5.48,3.5
Agustn Almodvar,6.23,1.3
Hilary Gilford,6.69,0.5
Molly Sims,5.82586206897,2.9
Tom Kalin,5.09,3.5
Dale Wyatt,5.45,1.0
Mt Haumann,5.52,0.5
Arturo Venegas,6.49,0.5
Elisa Bell,5.17,1.3
Troy Duffy,5.635,9.6
Kelly Macdonald,5.95172653534,17.26
Renata Scott,5.38,0.5
Tipu Taheer,5.94,0.5
Mark Edel-Hunt,5.85,0.5
Kai Wulff,5.686,2.5
Daniel Bernhardt,5.31,1.0
Naomi Campbell,3.69538461538,5.98
Ian McEwan,6.44,2.6
Rob Schrab,6.13,1.3
Sam Kelly,5.74,0.5
David Peace,5.76,1.3
Andrew Schofield,6.2,0.5
Karan Soni,6.75,0.5
Sharon Maguire,6.39,3.5
Rene Estevez,6.18,0.5
Derek Jacobi,6.60765571914,17.66
Tina Lifford,5.712,2.5
Ann Peacock,6.285,2.6
Nicholas Bourdages,5.63,0.5
Azucena Medina,6.24,1.9
Ashley Buccille,6.285,1.0
Hoyt Yeatman,5.23,3.5
Adam Bryant,6.67,5.48
Heather Langenkamp,6.38393712575,13.36
Jessica Fox,6.74,0.5
