Name,Score,Weight
John O'Leary,5.52,1.0
Pilar Lpez de Ayala,4.25,5.48
Dom Irrera,5.62,0.5
Martha Vazquez,5.16,0.5
Scott Wentworth,5.5,0.5
Philip Davis,6.3,1.5
Kristopher Steele,6.73,0.5
Patience Moore,5.91,0.5
Jon McCarthy,3.97,0.5
Desmond Davis,6.38,3.5
Dan Green,5.42,0.5
Jose Renato Lana,5.21,0.5
Gaston Peterson,5.1,0.5
Catherine Scorsese,7.34,0.5
Jim Jansen,5.41333333333,1.5
Devon Anderson,4.32,0.5
Harrison Zanuck,6.41,0.5
Frances Sternhagen,6.12138888889,7.2
David Argue,5.62,0.5
Marguerite Wheatley,6.31,0.5
John Leamer,5.81,0.5
Deborah Lemen,5.92,0.5
Bellina Logan,6.67,0.5
Jeni Chua,5.3,0.5
Corey Glover,7.67,0.5
Michael Ondaatje,6.66,1.3
Michael William Freeman,6.07,0.5
Johnny Pemberton,6.68,0.5
Tyrone Bogues,5.76,0.5
Dashiell Hammett,4.49,1.3
Roberto Martn Mrquez,6.18,1.9
Professor Toru Tanaka,5.33666666667,3.0
Evan Chandler,6.18,1.3
Billy Eckstine,5.74,0.5
Shashi Bhatia,7.13,0.5
Bob Goody,5.57,0.5
Alejandro Rey,6.05,1.9
Tim Matheson,5.69615384615,3.9
Michael Papajohn,5.27113636364,4.4
Angus Wright,4.91,0.5
Taso N. Stavrakis,6.46,0.5
Lorin Heath,4.16,0.5
Kimberlee M. Davis,6.85,0.5
Cynthia Gouw,5.54,0.5
Billy Blair,5.56,1.0
Daithi O'Suilleabhain,5.76,0.5
Viktor Stepanov,6.35,0.5
Sergio Castellitto,6.08,1.0
Imogen Bickford-Smith,6.66,0.5
Clafu,5.74,0.5
Rif Hutton,6.11,0.5
Gustine Fudickar,6.16,0.5
Joe Chrest,5.65666666667,1.5
A.J. Johnson,6.125,1.0
Thom Mathews,6.13835025381,7.88
Shaula Vega,5.4,0.5
Bernard Verley,5.17,0.5
Andrew Fleming,5.71757709251,22.7
Ray Nelson,6.63,1.3
Lucas Mende-Gibson,5.9,0.5
Patrick Lyster,6.31,0.5
Elizabeth Marvel,6.28,1.5
Jeremy Maleek Leggett,6.13,0.5
Bruno Lawrence,5.81,5.48
Ajay,4.39,0.5
Frank Hannah,6.52,1.3
Aliu Oyofo,6.12,0.5
Bree Turner,5.80566037736,5.3
Ngawang Chojor,6.03,0.5
Eyde Byrde,5.16,1.0
Marie Blanchard,5.21,0.5
Jan Hanks,5.77,0.5
Jeffrey William Evans,6.06,0.5
Oliver Stokes,5.76,0.5
Marina Budovsky,6.69,0.5
Tilky Jones,5.99,0.5
Matyelok Gibbs,5.55333333333,3.9
Alex Sols,6.18,0.5
Brecken Palmer,5.28,0.5
Paul Durden,4.98,1.8
Trey Lindsey,4.77,0.5
Alki David,6.53,0.5
Rainer Sellien,6.6,0.5
Nick Ferrari,6.38,0.5
John D. Brancato,6.11333333333,3.9
Aiko Tanaka,5.27,0.5
James Lee Burke,5.18,1.3
Harald Doornbos,5.42,0.5
Paul James Jordan,4.13,0.5
Jenifer Lewis,5.59671875,6.4
Joanna 'JoJo' Levesque,5.3466395664,7.38
Robert Bagnell,6.29,0.5
Marian Filali,6.08,0.5
Art Hsu,5.79,0.5
Kwesi Ameyaw,5.215,1.0
Glynis Johns,5.85333333333,1.5
Stephen Hughes,5.53,0.5
Peter Spierig,6.13,4.8
Sandra Reinton,6.73,0.5
Mary McCormack,5.83524271845,16.48
B.J. Hopper,6.04,0.5
Evans Evans,5.39,0.5
John Dugan,8.01,0.5
Mark Bazeley,5.76,0.5
Mary Kay Bergman,6.43909307876,8.38
Geoffrey Owens,5.96,0.5
Nicholas Jarecki,4.31,1.3
Robert Gossett,5.795,1.0
Margaret Clunie,5.41,0.5
Mina E. Mina,5.31,0.5
Edward Grover,6.78,0.5
Jonathan Davidson,6.92,0.5
Nathaniel Marston,5.91,0.5
Rick Petrucelli,5.94,1.0
Kieran Culkin,5.91994791667,15.36
Diane Perella,4.85,0.5
Marnie McPhail,6.71,0.5
Jennifer O'Neill,7.19,5.48
Slash,5.87,0.5
Jedidiah Cohen,6.45,0.5
Aziz Ansari,6.14019093079,8.38
Peter M. Lenkov,6.04,1.3
Weijian Liu,5.26,0.5
Brad Peyton,5.7,3.5
Larry Miller,5.48582733813,16.68
Elsa Zylberstein,5.17,5.48
Christopher Reid,5.75333333333,16.44
Luke,5.74,1.9
Meiert Avis,4.15,3.5
John Van Dreelen,6.06,0.5
Dick Warlock,6.1375,2.0
Michael Stearns,5.83,0.5
Jewel Staite,6.62,0.5
Gary Owen,6.29,0.5
Andre Braugher,5.95528301887,10.6
Yuri Sardarov,6.68,0.5
Susan Bruce,6.8,0.5
Aida Linares,5.87,0.5
Calvin Lockhart,6.26666666667,1.5
Adam Rapp,5.05,4.8
Dian Bachar,5.65,5.48
Shawn Driscoll,6.17,5.48
Natalya Andreychenko,5.95,0.5
Abbey Thickson,4.51,0.5
Sigourney Weaver,6.24161290323,81.84
Alvaro Lucchesi,5.76,0.5
Tom Bullock,5.82,0.5
Bernard Fox,6.675,1.0
J.F. Lawton,5.72,3.9
Luca Bigini,6.21,0.5
Eva Betrand,7.11,0.5
Gesang Meiduo,6.31,0.5
Mario Monicelli,6.3,0.5
Cameron Spurr,6.16,0.5
Michael Kitchen,6.31647058824,3.4
Michelle Phillips,5.66,0.5
Michael Ashton,5.49,0.5
Frank Medrano,5.578,2.5
Alexei Sayle,7.29,0.5
Teerawat Mulvilai,6.33,0.5
John McKinney,5.02,0.5
Amy Sakasitz,5.59,0.5
Frank Birney,5.14,0.5
Ed Guinn,8.01,0.5
Will Arnett,5.5290803485,20.66
Brian Garfield,5.946,6.5
Tina Sloan,6.72,1.0
Charles H. Gray,5.39,0.5
Scott Wolf,5.86,2.4
Aleisa Shirley,5.27,0.5
Clarence Graham,6.42,0.5
Sonny Franks,5.34,0.5
Davis Guggenheim,5.55,3.5
Gregory Alan Williams,6.02666666667,1.5
Rodney Patrick Vaccaro,5.52,1.3
Tyler,4.53,0.5
Sarah Roemer,6.29865482234,7.88
Madeline Kahn,6.18113636364,14.08
Sam Rosen,6.38,0.5
Noah Luke,6.51,0.5
Rose Abdoo,6.94,1.9
Michael Boatman,5.68,0.5
Hayley Holmes,5.23,0.5
Ron Payne,6.28,0.5
Gail Parent,5.1,1.3
Danil Boissevain,5.48,0.5
Evan Lionel Smith,5.58,0.5
Neil Maffin,5.74,0.5
Matthew Lillard,5.40901098901,18.2
Diane Beckett,6.34,0.5
Stephen Taylor,6.34,0.5
Mahershala Ali,6.345,1.0
Elena Goode,6.01,0.5
Matt Gogin,5.73,0.5
Zahf Paroo,5.41086956522,5.98
Paul McKenzie,5.97,0.5
Mi-sun Jun,6.13,0.5
Drew McVety,4.54,0.5
Terrance Sweeney,4.43,0.5
Amanda Carlin,6.06666666667,1.5
Tim Beckmann,6.31,0.5
Mark Rector,7.57,0.5
Nancy Stephens,6.75666666667,1.5
Peter Pasco,5.15,0.5
Ryan Fleck,6.52,9.6
Josh Evans,6.6425,2.4
Stephen D. Newman,6.71,0.5
Lil' Cease,6.62,0.5
Eric McCormack,4.73,0.5
Ray Wright,5.65,1.3
William J. Klish,7.78,0.5
Wyking Jones,6.29,0.5
Martin Hughes,5.3,0.5
John Altamura,4.87,5.48
Loren Dean,5.66173758865,11.28
Ray Nicholas,4.67,0.5
Brendan Aguillard,5.39,0.5
Vincent Palmo Jr.,5.42,1.3
Mark Hammer,6.12,0.5
Mary Tyler Moore,7.00859078591,7.38
H.R. Christian,5.2,1.3
Don Estelle,5.25,0.5
Tim Robbins,5.95430933333,75.0
Spencer Liff,6.21,0.5
Walter Raney,6.56,5.48
Robin Swicord,5.9525,5.2
Alon Ben David,5.28,0.5
George Spartels,6.1,0.5
Marc Pickering,6.64,0.5
Neil Burger,5.77666666667,14.4
Christopher Gordon,6.74,0.5
Brandlyn Whitaker,6.26,0.5
Jessica McNamee,6.49,0.5
Rocky Carroll,5.75666666667,1.5
Frances Conroy,5.255,8.8
Kris Isacsson,5.28,4.8
Lincoln Kilpatrick,5.36833333333,2.4
Ken Siu,6.63,0.5
Rosario Ziga,6.26,0.5
Peter Dobson,6.06461538462,3.9
Kevin Brodie,5.44,4.8
Herbie Braha,5.63,0.5
Patricia Riggen,5.07,3.5
Chandler McIntyre,5.35,1.0
Vic Sarin,5.0,3.5
Joji Yoshida,5.49,0.5
Stan Freberg,5.7,0.5
Ian 'Blaze' Kelly,5.96,0.5
Arielle Kebbel,5.275,3.4
Gilda Radner,5.31,0.5
Cassie Yates,6.04,0.5
Cynthia Kania,5.05,0.5
Thomas Peterson,6.29,0.5
Brian Palermo,5.46,0.5
Dennis Franz,6.29586206897,5.8
A. Jay Radcliff,5.56,0.5
Martin Stringer,6.95,5.48
Patrick Fugit,6.16353944563,9.38
lex Gonzlez,6.66,0.5
Setu Taase,6.24,0.5
Thomas Kidd,6.81,0.5
Jeremy Renner,6.46513126492,16.76
Kellie Overbey,5.89,0.5
Molly Grant Kallins,5.81,0.5
Carver Barnes,6.32,0.5
Alexandra Artrip,5.51,0.5
Wolfman Jack,7.36,0.5
Peter Forster,6.28,0.5
Ana Maria Estrada,5.07,0.5
Katie Peterson,5.9,0.5
Ken Renard,4.4,0.5
Axel Kiener,6.19,0.5
Victor Aaron,5.7,0.5
Mike Thurmeier,6.37,7.0
Keith Anthony-Lubow-Bellamy,5.63,0.5
Mary-Margaret Humes,6.32,0.5
Molly Hagan,5.0788372093,4.3
Steven Lambert,5.785,1.0
Alicia Meer,6.2,0.5
Martin Meader,5.55,1.3
Sarah-Jane Varley,5.46,0.5
Douglas Smith,5.54,1.0
Carmen Kaichi,6.89,0.5
Pete Postiglione,5.35,0.5
Timothy Dalton,5.75159896283,23.14
Alex Diakun,5.395,1.0
Jade Griffiths,6.62,0.5
Liem Whatley,5.7,0.5
Tammi Cubilette,6.37,0.5
Shannon Kane,5.01791666667,2.4
Marjorie Dome,6.24,0.5
Cassie Ventura,5.91,1.9
Jesse James,5.75029411765,6.8
Suzanne Ventulett,4.7,0.5
Billy Waldeman,6.58,0.5
Alain Delon,4.81,5.48
Andrea Powell,5.445,1.0
Justin Kline,4.52,1.9
Stephanie Makulinski,6.78,0.5
H.G. Wells,5.195,2.6
Nadia Dajani,5.8275862069,2.9
Chema Ruiz,6.23,0.5
Geoff Burrowes,5.31,3.5
Anne Bartoletti,6.76,1.9
Adam Brooks,6.05480825959,6.78
Jermel Howard,6.02,0.5
Robert Sheehan,5.31,0.5
Catherine Kellner,5.95666666667,1.5
Joan Blondell,5.59,0.5
Natalie Dormer,4.67,0.5
Josh Gaeta,5.62,0.5
Derrick Branche,4.97,0.5
Jeff DiLucca,4.69,0.5
Yumiko Tanaka,5.74,0.5
Thom Fell,5.27,0.5
Gina Montana,7.04,0.5
Courtney Hunt,6.61,4.8
Laura Mitchell,5.73,0.5
Nina McKay,4.76,0.5
Evangeline Lilly,6.35125,2.4
Janet Margolin,6.83,1.0
China Chow,5.57666666667,1.5
Michael O'Keefe,6.38339041096,11.68
Pamela Jean Bryant,5.74,0.5
Kamelia Grigorova,5.76,0.5
William Schallert,5.37,0.5
Cameron Mitchell,5.165,1.0
Shahab Hosseini,7.69,1.9
Zack Phifer,6.56,1.9
Nicolas Silberg,5.15,0.5
Mike Nomad,5.96,0.5
Desi Moreno,4.96,0.5
Dana Gaier,6.91,0.5
Sayuri Gutierrez,6.74,0.5
Richard Griffiths,6.17545180723,13.28
Anita Reeves,6.49,0.5
Manuel Acosta,7.65,0.5
Joseph Mydell,4.42,0.5
John Doe,4.87653061224,4.9
George P. Wilbur,5.86458333333,2.4
Steven Hinkle,6.2,1.0
Jamia Simone Nash,6.5,0.5
Chris O'Neill,5.18,0.5
David Cronenberg,5.93940652819,33.7
Anthony Correa,5.63,0.5
Harvey Atkin,6.67,0.5
Gary Allen,6.05,1.0
Brad Garrett,5.88111111111,4.5
Kristin Adams,5.24,0.5
Robert Burgos,5.45,0.5
Tony Devon,6.65,0.5
Elise Eberle,5.89,0.5
Isabella De Villiers,4.78,0.5
Carol Doyle,5.59,1.3
Alaina Reed-Hall,6.195,1.0
Valeri Yakovlev,5.98,0.5
Jennifer Tung,6.01,1.0
Simon West,5.65,24.5
Kelli Scott,5.52,0.5
Michael Elliott,4.47,0.5
Martin Ferrero,6.2625,2.0
Daniel Auster,6.53,0.5
Haskell V. Anderson III,6.3,0.5
Vincent Paterson,6.45,0.5
Ron Kurz,6.165,2.6
Ilinca Harnut,5.77,0.5
Sophie Rois,6.46,0.5
George Allen,5.47,1.9
Danny Pritchett,5.77,0.5
Daniel Dhubert,5.99,0.5
Mike 'Nug' Nahrgang,5.6,1.0
Camillo Garca,6.74,0.5
Guinevere Turner,5.0125,2.8
Pietro Sarubbi,5.43,0.5
Maggie Kiley,6.3,0.5
Lexi Alexander,5.41,3.5
Ileen Getz,6.485,1.0
Howard Hesseman,5.48665871122,8.38
Herb Mitchell,6.56,0.5
Justin Zaremby,6.49,0.5
Jeff J.J. Authors,5.62,0.5
Dolores Heredia,5.9,0.5
Jerry Walter,6.92,0.5
Lee Ving,6.085,1.0
Danny Glover,5.87373637779,77.08
Andrew Robb,5.31,0.5
Hans Christian Andersen,5.935,2.6
Je-kyu Kang,6.22,4.8
Luke Robertson,5.24,1.0
Philip Locke,5.785,1.0
Anthony J. Robinow,5.6,0.5
Christopher Fulford,6.19291666667,2.4
Peter Lord,6.44213114754,6.1
Katherine Parkinson,5.46,0.5
Myles Donaldson,6.47,0.5
Ernie Ortega,5.83,0.5
Zack Pearlman,4.52,5.48
Thomas F. Wilson,6.05653061224,4.9
Sharib Hashmi,7.39,0.5
Eileen April Boylan,5.17,0.5
Sherri Stoner,5.86,1.3
Edmund H. North,5.275,2.6
Jim Grimsley,4.47,1.3
Ross Patterson,5.73,0.5
Jacquelyn Mitchard,5.56,1.3
Joseph Mascolo,5.41,1.9
Kenneth Tigar,6.09,0.5
Kathleen Rowell,6.57,1.3
Elizabeth Pea,5.73405772496,11.78
Leon Thomas III,6.5,0.5
Oliver Crumes Jr.,5.83,0.5
Chelsea Field,5.29997613365,8.38
Helen Martin,6.68896551724,2.9
Jim Dale,5.61,5.48
Kevin G. Schmidt,5.8,2.0
Janet Tracy Keijser,5.67,0.5
David Ensor,6.75,0.5
Randy Eledge,5.71,0.5
Charles Goff,5.44,0.5
Tim Jo,5.65,0.5
Andrew Wight,5.57,1.3
Nina Siemaszko,5.7725,4.4
Antony Thekkek,4.53,0.5
Edi Gathegi,5.74717948718,3.9
Fran Ryan,6.83,0.5
Frank Pietrangolare,5.9575862069,2.9
Alex Lewis,6.03,5.48
Micky Morton,5.92,0.5
Nathalie Walker,4.9,0.5
Freeman Coffey,5.99,0.5
Glenn Gers,5.52,1.3
Stanley Kamel,5.33,0.5
Sergio Dor Jr.,5.39,0.5
Brian Simpson,5.25,0.5
Jim Britts,6.46,1.3
Neil Innes,6.43,0.5
Christopher Leitch,4.74278688525,6.1
Lisa MacKay,5.9,0.5
Catalina Sandino Moreno,6.60114197531,6.48
Jinpachi Nezu,5.79,1.9
Kaori Momoi,5.11068965517,2.9
Michael Nyqvist,6.57,0.5
Paula Jai Parker,5.82875,4.0
Fenton Bailey,5.3,4.8
Karey Kirkpatrick,5.54655737705,6.1
Sheila Tousey,5.73708333333,2.4
Beverley Cross,6.38,1.3
Joy Bryant,5.73559936909,12.68
Carmine Coppola,5.05,0.5
Tony Hale,5.57666666667,1.5
Michael Chieffo,5.97,0.5
David Moreau,5.62,3.5
Tommy Thompson,7.78,0.5
Brendan Fraser,5.50207906977,86.0
Sally Crooks,4.62,0.5
Thomas Dean Donnelly,4.825,5.2
Julie Michaels,5.655,1.0
Al Vandecruys,6.07,0.5
Mary Carillo,5.78,0.5
Andrew Simpson,6.57,0.5
Charlie Caldwell,5.52,0.5
Joshuah Bearman,7.11,1.3
Jean-Marc Mino,5.47,0.5
Dan Castellaneta,6.3438963964,8.88
Mike Robinson,6.37,0.5
Lourdes Benedicto,5.58,0.5
JoJo D'Amore,6.21,0.5
Kristen Stinson,7.01,0.5
Sterling Macer Jr.,4.935,1.0
David Mendenhall,5.22,0.5
Gary Buckner,4.61,0.5
Fritz Feld,6.56,0.5
John Casino,4.17,0.5
Philippe Bergeron,5.735,1.0
Leos Carax,4.87,0.5
Fernley Phillips,5.9,1.3
Fox Harris,5.65,0.5
Deborah Findlay,5.915,1.0
Peter Wight,6.11294117647,3.4
Veronika Dash,6.04,0.5
Ashraf Barhom,5.43275862069,2.9
Kelly Hu,5.59905660377,5.3
Barbara Babcock,5.97,1.0
Claudia Karvan,5.955,2.4
Brett Pickup,3.43,0.5
Joe Mulherin,5.63,0.5
Lyndsey Marshal,6.295,1.0
Paulo Costanzo,5.24511627907,4.3
Steve Vinovich,5.84,0.5
Pauline Whyman,5.93,0.5
Ashli Bare,5.68,0.5
James B. Harris,5.86,4.8
J. Mackye Gruber,6.79327868852,6.1
Emmanuel Benbihy,6.19,1.3
Hugh Lofting,5.35,2.6
Altovise Davis,6.56,0.5
Franck-Olivier Bonnet,6.85,0.5
Joan Bud,5.8,0.5
Bryan Barter,6.95,1.9
Andrea Thompson,5.19,0.5
Andra Leal,5.24,0.5
Julian Mitchell,5.8,1.3
Guy Massey,6.65,1.9
Bill Richmond,5.75,1.3
Penny Slusher,5.21,0.5
Daniel Mays,6.12489795918,4.9
Harrison Fahn,6.48,1.9
Kallie Flynn Childress,5.17,0.5
Daniella Van Graas,5.3,0.5
Rose Jackson,6.35,0.5
Brad Kerner,6.3,0.5
Nancy Ellen Mills,4.9,0.5
Dato Bakhtadze,4.78,0.5
Megan Cavanagh,5.9063368984,7.48
Victor Anthony,5.92,0.5
Kent Faulcon,6.12,1.0
Stephen Frears,5.67571428571,24.5
Florentyna Synowiecka,4.77,0.5
Danny Burstein,7.03,1.9
Erinn Bartlett,5.28666666667,1.5
Jean-Jacques Annaud,6.44813559322,11.8
Enisha Brewster,5.72,0.5
Milena Vukotic,6.07,0.5
S.E. Hinton,6.28,2.6
Chad Lindberg,6.17128205128,3.9
Constanza Hool,5.79,0.5
Milton Berle,6.55,0.5
Stephen Schiff,5.51666666667,3.9
Corey Stoll,6.146,2.5
Joe Sakol Palvanichkul,5.24,0.5
Rene Auberjonois,6.03789473684,13.68
Paul Koslo,4.86166666667,2.4
Judy White,5.41,0.5
Kyla Pratt,5.08926108374,12.18
Dan Haggerty,5.2,0.5
Paula Arundell,4.78,0.5
Victor Garber,6.44111111111,5.4
Mary Ruth Clarke,6.4,2.6
Bob Ivy,6.56,0.5
Heidi Dippold,4.77,1.9
Leslie Caveny,6.13,1.3
Megan Lozicki,6.3,0.5
Collin Wilcox Paxton,5.41,0.5
Mark Andrews,6.3493442623,6.1
Lila Glantzman-Leib,6.66,0.5
Klaus Maria Brandauer,6.24,3.8
Birge Schade,4.93,0.5
Michael Ferris,6.11333333333,3.9
Sandra Voe,6.36,0.5
Tiffany Taubman,5.48,0.5
Blake,4.53,0.5
Dina Eastwood,5.77,0.5
Christopher Tayback,6.39,0.5
Tichina Arnold,5.865,1.0
Jeffrey Weissman,6.765,1.0
Doreen Keogh,4.0,0.5
Jim Jordan,6.95,0.5
Lee Oakes,6.0,1.0
Edith Jefferson,6.56,0.5
Justin Timberlake,5.65024111675,15.76
Peter Bogdanovich,5.42650306748,16.3
Diane Gaidry,6.16,5.48
Hiam Abbass,6.04,1.9
Benjamin Brant Bickham,5.87,0.5
Marisa Silver,5.47,3.5
Ric Sarabia,6.57,0.5
Jorge Luis Abreu,4.59,0.5
Tara Thompson,5.31,0.5
Justin Monjo,6.52,0.5
Dick Cusack,6.42,0.5
Mark de la Cruz,5.01,0.5
Patricia Richardson,6.47130434783,5.98
Kirsten Sheridan,6.5,3.5
Naykia Harris,6.33,0.5
Cody Newton,6.24,0.5
Cathy Tyson,6.19,5.48
Ruth Sheen,5.68166666667,2.4
Sharlit Deyzac,5.9,0.5
Darrel Guilbeau,4.16,0.5
Lisa Jane Persky,6.3675,2.0
Jin-seo Yun,6.62,0.5
Margarita Franco,4.985,1.0
Ali Landry,6.61,1.9
Jafar Panahi,7.48,4.8
Joyce Easton,6.3,0.5
Charles Cooper,5.54,0.5
Ivn Kamars,6.3,0.5
David Shatraw,4.48,0.5
Christopher Lohr,6.44,0.5
Sid Lynas,6.27,0.5
Ben Hollingsworth,5.73,1.9
Mark Stephen,4.49,0.5
Pascal Rollin,4.67,5.48
Lindsay Leese,4.29,0.5
Hardee T. Lineham,4.36,0.5
Michael Patrick King,5.185,9.6
Stoney Jackson,5.805,1.0
Ricardo Montez,6.19,0.5
John Lone,5.79643512451,15.26
John Long,6.0,1.3
Heino Ferch,5.00063545151,5.98
Marc Clement,4.29,0.5
Bernardo de Paula,6.4,0.5
Elena Karam,6.04,0.5
Luis Tosar,5.54,0.5
Bernard Archard,5.61,0.5
Cheryl Ladd,5.25791666667,2.4
Ryan Todd,5.64,0.5
Christopher Denham,7.005,1.0
Kitty Fox,5.55,0.5
Phyllis Sukoff,5.73,0.5
Yvonne Sci,5.24,0.5
Pearl Bailey,6.5,1.9
Edgar Rodriguez,6.02,0.5
Lawrence Feeney,5.31,0.5
Daniel Gerroll,6.96,0.5
Misty Rosas,5.29,0.5
Robert Phillips,5.57,0.5
Gabriel Carpenter,5.58,0.5
Gustavo Taretto,4.25,4.8
Stephen Dorff,5.22271467077,51.94
Judson Mills,4.83,0.5
Ivan Kronenfeld,6.0,0.5
Callum Keith Rennie,5.93375,4.0
Renoly Santiago,5.785,1.0
Terence Rigby,5.95,1.0
Mabel King,5.685,1.0
Doug Taylor,4.04,1.3
Helen Mirren,5.89354395604,21.84
Cheryl Lynn Bowers,5.78,0.5
Chandler Frantz,6.58,1.0
Steven Shainberg,5.57,7.0
Amy Heckerling,5.49572687225,22.7
Jessica Leshnower,5.76,0.5
Jonathan Harris,6.46,0.5
Dhiaa Khalil,4.75,0.5
Emily Rios,4.77,0.5
Joseph Sargent,4.11,3.5
Daniel Southern,5.74,1.9
Margo Winkler,5.39,0.5
Luis Rosado,5.91,0.5
George L. Casillas,5.34,0.5
Christopher Mayer,6.48,0.5
Phyllida Law,5.72857142857,4.9
Ralph Wilcox,3.92,0.5
Leonardo Benvenuti,6.55,1.3
David Raynr,5.5,7.0
Dennis Fimple,5.58,1.0
Paterson Joseph,5.26,0.5
William Horwich,4.81,0.5
Ricky Ritzel,6.41,0.5
Kosha Engler,6.09,0.5
Jeff Rawle,6.75,0.5
David Dennis,4.78,0.5
Leigh Whannell,7.00551724138,12.18
Jane Alderman,5.89,0.5
Antony Hoffman,5.19,3.5
Rian Johnson,6.52666666667,14.4
John Napierala,4.59,0.5
Robert Barton,7.01,0.5
Jeff Hayenga,5.92,0.5
Mark Doherty,5.455,1.0
S.N. Warren,5.98,1.3
Angelo Rossitto,6.1,0.5
Allan Royal,5.46,0.5
Jaryd Waterhouse,6.36,0.5
Patricia Belcher,6.22323529412,3.4
Donald Elson,7.04,0.5
Douglas Rain,6.22,0.5
Al Lewis,4.735,1.0
Elisebeth Peters,5.17,0.5
Jos Dumont,5.21,0.5
Denis O'Neill,5.89,1.3
Rowan Blanchard,4.62,1.9
Colin O'Donoghue,5.7,5.48
Nathan Alexander,6.36,1.3
Sarah Shahi,4.81,0.5
Frederick Y. Okimura,4.63,0.5
Lou Romano,6.8975,2.4
Paul Kent,4.59,0.5
David Speck,6.26,0.5
Margaret Whitton,5.95581395349,4.3
Kathy Harum,5.88,0.5
Sean McDonagh,5.53,0.5
Ann Magnuson,5.568,2.5
Rich Cooper,5.74,1.9
Rick Avery,5.32,0.5
Jessamy Finet,5.97,0.5
Kathleen Noone,5.49,0.5
Frank Military,5.83,0.5
Bill Bryden,6.49,1.3
Kji Suzuki,6.035,2.6
Karen Davitt,6.1,0.5
Tommy Davidson,4.9338869863,11.68
Peter Jonfield,7.17,0.5
Foxy Brown,4.36,0.5
Steve Caouette,8.26,0.5
Jim Beaver,5.952,2.5
Jane Curtin,5.87235294118,3.4
Pat Laffan,4.0,0.5
Brandon Merrill,6.04,1.9
J.K. Rowling,6.71857142857,9.1
Christine Deaver,2.6,0.5
Lisa Spoonhauer,7.39,1.9
Gregory D. Gadson,5.49,0.5
Daniel Cosgrove,6.25,0.5
Richard Easton,6.445,1.0
Burtt Harris,5.18,0.5
Domingo Ambriz,5.31,0.5
Garcelle Beauvais,4.794,2.5
Loren Bivens,6.66,0.5
mile Gaudreault,5.46,1.3
Meshach Taylor,5.00488372093,4.3
Ernest Tidyman,6.66333333333,3.9
Wendy Crewson,6.1063963964,11.1
Devon Sawa,5.32598656591,23.82
Darren Smith,4.96,1.3
Captain Haggerty,5.97,1.9
Rosalie Crutchley,5.56,0.5
Michael Dinner,5.34,3.5
Brandon Lee,6.01,16.44
Quinn Dempsey Stiller,6.47,0.5
Curtiss Cook,6.235,1.0
Peigi Barker,6.49,0.5
Nigel Hawthorne,6.14181818182,10.78
Alberto Vazquez,6.25,1.0
Jason Tobin,7.01,5.48
Jason Finn,6.62,0.5
David Fisher,6.92,0.5
Robert Forster,6.04349206349,6.3
Walter Hill,5.8601686747,41.5
CJ Adams,6.34,0.5
Joan Copeland,5.68,0.5
Benjamin Gourley,6.31,0.5
Deborah Hobart,5.89,0.5
Joshua Brody,4.8,0.5
Henry Cavill,5.95957020057,6.98
Mike Seelig,6.67,0.5
Miguel Guilherme,5.74,0.5
Kurt Grossi,5.66,0.5
Josey Scott,6.74,0.5
'Squeeks' the Caterpillar,6.5,0.5
Abraxas Adams,6.51,0.5
Jay Harrington,6.26,0.5
Paige Cannon,6.09,0.5
Jennifer Aniston,6.05670790378,58.2
Caroleen Feeney,5.36,0.5
Bob Zany,5.64,0.5
Andr Oumansky,6.19,1.0
Kenny Rhodes,5.81,0.5
Edward Tang,6.9,1.3
William Harrison,3.91,1.3
Chris Gerolmo,6.89,1.3
Peggy Walton-Walker,5.84,0.5
Patrick Barlow,6.73,0.5
Renee Allman,5.32,0.5
Hume Cronyn,6.14,1.5
Gareth Williams,5.52,0.5
Peter Hall,5.25,3.5
Rosemary Dunsmore,5.66,1.0
Helen Horton,6.645,1.0
Chelsea Catthouse,6.25,0.5
Jeff Celentano,5.42,0.5
Yeon-suk Ahn,6.62,0.5
Denis O'Hare,5.97142857143,3.5
Sung-min Lee,5.35,0.5
Colin Prince,6.13,0.5
Laura Whyte,5.29,0.5
David Wechter,6.18,1.3
Carmine Giovinazzo,5.73,0.5
Warren Coleman,6.2,4.8
Tomasz Karolak,6.38,0.5
Karen Walton,4.29,1.3
Nicole Abisinio,6.46,0.5
Matt Birman,6.4,0.5
Ali Nazary,4.86,0.5
Sasa Vulicevic,6.3,0.5
Jamie Harris,6.4275,2.0
Gregory Nicotero,6.35,1.0
Rupert Sanders,5.91,3.5
Bob Maroff,5.58,0.5
Laura Clifton,5.37,0.5
Daniel Haggard,5.92,0.5
Rosanna Carter,6.5,5.48
Rie Rasmussen,5.47,0.5
Antwon Tanner,5.865,2.4
Christopher Neame,5.13666666667,2.4
Shaun Aylward,6.42,0.5
Anson Mount,5.384,2.5
Anthony Allen,6.94,0.5
Steve Landesberg,6.62,0.5
Mary Morasky,4.41,0.5
Peter Jason,5.83307692308,6.5
Mel Harris,5.545,1.0
Margarita Levieva,5.80605351171,5.98
Joe R. Lansdale,6.56,1.3
Joe Shapiro,4.16,0.5
Maurice Roves,5.93666666667,1.5
Brian Stokes Mitchell,5.71,0.5
Machs Colombani,5.62,0.5
David Levien,5.85607594937,7.9
Macdara  Fatharta,4.0,0.5
David Franklin,5.86,1.0
Jodi Bianca Wise,6.62,0.5
Yin Qing,6.31,0.5
Piers du Pr,6.29,1.3
