imdb_id,title,rating,directors,writers,actors,budget,gross,financial score,score
tt0266747,Marci X,2.6,['Richard Benjamin'],['Paul Rudnick'],"['Lisa Kudrow', 'Damon Wayans', 'Richard Benjamin', 'Jane Krakowski', 'Christine Baranski', 'Paula Garcs', 'Charles Kimbrough', 'Veanne Cox', 'Sherie Rene Scott', 'Gano Grills', 'Nashawn Kearse', 'Myron Primes', 'Billy Griffith', 'Andrew Keenan-Bolger', 'Adam Fleming']","$20,000,000 ","$1,646,664 ",4.32 ,3.46 
tt0238948,Double Take,4.9,['George Gallo'],"['Graham Greene', 'Guy Elmes']","['Orlando Jones', 'Eddie Griffin', 'Gary Grubbs', 'Daniel Roebuck', 'Sterling Macer Jr.', 'Benny Nieves', 'Garcelle Beauvais', 'Andrea Navedo', 'Edward Herrmann', 'Shawn Elliott', 'Brent Briscoe', 'Donna Eskra', 'Carlos Carrasco', 'Frank Pesce', 'Julie Lott']","$24,000,000 ","$20,218 ",2.03 ,3.46 
tt1674784,Trespass,5.2,['Joel Schumacher'],['Karl Gajdusek'],"['Nicolas Cage', 'Nicole Kidman', 'Ben Mendelsohn', 'Liana Liberato', 'Cam Gigandet', 'Jordana Spiro', 'Dash Mihok', 'Emily Meade', 'Nico Tortorella', 'Brandon Belknap', 'Terry Milam', 'Tina Parker', 'David Maldonado', 'Nilo Otero', 'Simone Levin']","$35,000,000 ","$16,816 ",1.75 ,3.47 
tt0960741,The Canyon,5.7,['Richard Harrah'],['Steve Allrich'],"['Eion Bailey', 'Yvonne Strahovski', 'Will Patton', 'Wendy Worthington', 'Andrea Marcellus', 'Christopher Sweeney', 'Solomon Loop', 'Ed Tracey']","$10,000,000 ","$1,785 ",1.25 ,3.48 
tt0472071,Death Defying Acts,5.8,['Gillian Armstrong'],"['Tony Grisoni', 'Brian Ward']","['Guy Pearce', 'Catherine Zeta-Jones', 'Timothy Spall', 'Saoirse Ronan', 'Malcolm Shields', 'Leni Harper', 'Ralph Riach', 'Olivia Darnley', ""Anthony O'Donnell"", 'Billy McColl', 'James Holmes', 'Melanie Harris', ""Aileen O'Gorman"", 'Raymond Griffiths', 'Shaun Mason']","$20,000,000 ","$3,561 ",1.25 ,3.53 
tt1213644,Disaster Movie,1.8,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Matt Lanter', 'Vanessa Lachey', ""Gary 'G. Thang' Johnson"", 'Nicole Parker', 'Crista Flanagan', 'Kim Kardashian', 'Ike Barinholtz', 'Carmen Electra', 'Tony Cox', 'Tad Hilgenbrink', 'Nick Steele', 'John Di Domenico', 'Jason Boegh', 'Valerie Wildman', 'Abe Spigner']","$25,000,000 ","$14,190,901 ",5.28 ,3.54 
tt1678051,Soldiers of Fortune,4.2,['Maxim Korostyshevsky'],"['Robert Crombie', 'Alexandre Coscas', 'and 1 more credit']","['Christian Slater', 'Sean Bean', 'Ving Rhames', 'Dominic Monaghan', 'Colm Meaney', 'Oksana Korostyshevskaya', 'Charlie Bewley', 'Ryan Donowho', 'Freddy Rodrguez', 'James Cromwell', 'Gennadi Vengerov', 'Sarah Ann Schultz', 'Shawn Parsons', 'Martina Jagodkina', 'Romuald Makarenko']","$8,000,000 ","$38,842 ",2.90 ,3.55 
tt1659343,Universal Soldier: Day of Reckoning,5.4,['John Hyams'],"['John Hyams', 'Doug Magnuson']","['Jean-Claude Van Damme', 'Scott Adkins', 'Dolph Lundgren', 'Kristopher Van Varenberg', 'James Rawlings', 'Mariah Bonner', 'Sigal Diamant', 'Andrei Arlovski', 'Audrey P. Scott', 'Roy Jones Jr.', 'David Jensen', 'Rus Blackwell', 'James DuMont', 'Austin Naulty', 'Dennis Keiffer']","$11,500,000 ","$5,247 ",1.72 ,3.56 
tt0129136,Hell's Kitchen,4.8,['Tony Cinciripini'],['Tony Cinciripini'],"['Rosanna Arquette', 'William Forsythe', 'Angelina Jolie', 'Mekhi Phifer', 'Johnny Whitworth', 'Stephen Payne', 'Jade Yorker', 'Michael Nicolosi', 'Ryan Slater', 'Sharif Rashed', 'Martin Shakar', 'Ricky Tyberg', 'Al Cayne', 'Stephon Fuller', 'Dan Musico']","$6,000,000 ","$9,122 ",2.32 ,3.56 
tt0101615,Cool as Ice,2.4,['David Kellogg'],['David Stenn'],"['Naomi Campbell', 'Vanilla Ice', 'Deezer D', 'Kevin Hicks', 'Allison Dean', 'Bobbie Brown', 'Kristin Minter', 'Sydney Lassick', 'Dody Goodman', 'John Newton', 'Candy Clark', 'Michael Gross', 'Victor DiMattia', 'Brooke Alexander', 'Jack McGee']","$6,000,000 ","$1,193,062 ",4.76 ,3.58 
tt0955411,The Ten Commandments,2.8,"['Bill Boyce', 'John Stronach']",['Ed Naha'],"['Ben Kingsley', 'Christian Slater', 'Alfred Molina', 'Elliott Gould', 'Scott McNeil', 'Christopher Gaze', 'Kathleen Barr', 'Lee Tockar', 'Matt Hill', 'Kitanou St. Germain', 'Trevor Devall', 'Jane Mortifee', 'Brian Dobson', 'Garry Chalk', 'Nico Ghisi']","$10,000,000 ","$938,232 ",4.38 ,3.59 
tt0369226,Alone in the Dark,2.3,['Uwe Boll'],"['Elan Mastai', 'Michael Roesch', 'and 1 more credit']","['Christian Slater', 'Tara Reid', 'Stephen Dorff', 'Frank C. Turner', 'Matthew Walker', 'Will Sanderson', 'Mark Acheson', 'Darren Shahlavi', 'Karin Konoval', 'Craig Bruhnanski', 'Kwesi Ameyaw', 'Dustyn Arthurs', 'Catherine Lough Haggquist', 'Ed Anders', 'Brad Turner']","$20,000,000 ","$5,132,655 ",4.89 ,3.59 
tt0383222,BloodRayne,2.8,['Uwe Boll'],['Guinevere Turner'],"['Kristanna Loken', 'Michael Madsen', 'Matthew Davis', 'Will Sanderson', 'Geraldine Chaplin', 'Udo Kier', 'Meat Loaf', 'Michael Par', 'Billy Zane', 'Michelle Rodriguez', 'Ben Kingsley', 'Darren Shahlavi', 'Esteban Cueto', 'Madalina Constantin', 'Daniela Nane']","$25,000,000 ","$2,405,420 ",4.40 ,3.60 
tt0762105,I Hate Valentine's Day,4.5,['Nia Vardalos'],"['Nia Vardalos', 'Nia Vardalos']","['Nia Vardalos', 'John Corbett', 'Stephen Guarino', 'Amir Arison', 'Zoe Kazan', 'Gary Wilmes', 'Mike Starr', 'Jason Mantzoukas', 'Judah Friedlander', 'Rachel Dratch', 'Jay O. Sanders', 'Lynda Gravatt', 'Olive', 'Suzanne Shepherd', 'Dan Finnerty']","$3,000,000 ","$10,060 ",2.72 ,3.61 
tt0091934,Shanghai Surprise,2.7,['Jim Goddard'],"['John Kohn', 'Robert Bentley', 'and 1 more credit']","['Sean Penn', 'Madonna', 'Paul Freeman', 'Richard Griffiths', 'Philip Sayer', 'Clyde Kusatsu', 'Kay Tong Lim', 'Sonserai Lee', 'Victor Wong', 'Professor Toru Tanaka', 'Michael Aldridge', 'Sarah Lam', 'George She', 'Won Gam Bor', 'To Chee Kan']","$17,000,000 ","$2,209,013 ",4.55 ,3.62 
tt0084132,Inchon,3,['Terence Young'],"['Robin Moore', 'Laird Koenig']","['Laurence Olivier', 'Jacqueline Bisset', 'Ben Gazzara', 'Toshir Mifune', 'Richard Roundtree', 'David Janssen', 'Kung-won Nam', 'Gabriele Ferzetti', 'Rex Reed', 'Sabine Sun', 'Dorothy James', 'Karen Kahn', 'Lydia Lei', 'James T. Callahan', 'Rion Morgan']","$46,000,000 ","$4,408,636 ",4.39 ,3.70 
tt0092795,Creepozoids,2.8,['David DeCoteau'],"['Buford Hauser', 'David DeCoteau']","['Linnea Quigley', 'Ken Abraham', 'Michael Aranda', 'Richard L. Hawkins', 'Ashlyn Gere', 'Joi Wilson']","$75,000 ","$13,133 ",4.69 ,3.75 
tt1213648,London Boulevard,6.2,['William Monahan'],"['William Monahan', 'Ken Bruen']","['Colin Farrell', 'Keira Knightley', 'David Thewlis', 'Anna Friel', 'Ben Chaplin', 'Ray Winstone', 'Eddie Marsan', 'Sanjeev Bhaskar', 'Stephen Graham', 'Ophelia Lovibond', 'Jamie Campbell Bower', 'Velibor Topic', 'Lee Boardman', 'Alan Williams', 'Jonathan Cullen']","$35,000,000 ","$6,911 ",1.31 ,3.75 
tt1535612,The Son of No One,5.1,['Dito Montiel'],['Dito Montiel'],"['Al Pacino', 'Channing Tatum', 'James Ransone', 'Ray Liotta', 'Katie Holmes', 'Ursula Parker', 'Brian Gilbert', 'Tracy Morgan', 'Jake Cherry', 'Simone Joy Jones', 'Juliette Binoche', 'Lemon Andersen', 'Roger Guenveur Smith', 'Michael Rivera', 'Sean Cregan']","$15,000,000 ","$28,870 ",2.44 ,3.77 
tt0473024,Crossover,1.9,['Preston A. Whitmore II'],['Preston A. Whitmore II'],"['Anthony Mackie', 'Wesley Jonathan', 'Eva Marcille', 'Wayne Brady', 'Little JJ', 'Philip Champion', 'Alecia Jai Fears', 'Kristen Wilson', 'William L. Johnson', 'Tamer Alwerfalli', 'Ele Bardha', 'Gavin J. Behrman', 'Shelli Boone', 'Linda Boston', 'Marvin Collins']","$5,600,000 ","$7,009,668 ",5.68 ,3.79 
tt0185183,Battlefield Earth,2.4,['Roger Christian'],"['Corey Mandell', 'J.D. Shapiro', 'and 1 more credit']","['John Travolta', 'Barry Pepper', 'Forest Whitaker', 'Kim Coates', 'Sabine Karsenti', 'Michael Byrne', 'Christian Tessier', 'Sylvain Landry', 'Richard Tyson', 'Christopher Freeman', 'John Topor', 'Shaun Austin-Olsen', 'Tim Post', 'Earl Pastko', 'Michel Perron']","$44,000,000 ","$21,471,685 ",5.21 ,3.80 
tt1486193,5 Days of War,5.6,['Renny Harlin'],"['Mikko Alanne', 'David Battle']","['Rupert Friend', 'Emmanuelle Chriqui', 'Richard Coyle', 'Heather Graham', 'Johnathon Schaech', 'Rade Serbedzija', 'Andy Garcia', 'Val Kilmer', 'Mikko Nousiainen', 'Mikheil Gomiashvili', 'Ana Imnadze', 'Antje Traue', 'Kenneth Cranham', 'Dean Cain', 'Sergo Shvedkov']","$20,000,000 ","$17,149 ",2.04 ,3.82 
tt1541160,Flypaper,6.3,['Rob Minkoff'],"['Jon Lucas', 'Scott Moore']","['Patrick Dempsey', 'Ashley Judd', 'Tim Blake Nelson', 'Mekhi Phifer', 'Matt Ryan', 'Jeffrey Tambor', 'John Ventimiglia', 'Pruitt Taylor Vince', 'Curtis Armstrong', 'Rob Huebel', 'Adrian Martinez', 'Natalia Safran', 'Octavia Spencer', 'Eddie Matthews', 'Rob Boltin']","$5,000,000 ","$1,098 ",1.36 ,3.83 
tt0290747,Man-Thing,4.1,['Brett Leonard'],"['Steve Gerber', 'Hans Rodionoff']","['Matthew Le Nevez', 'Rachael Taylor', 'Jack Thompson', 'Rawiri Paratene', ""Alex O'Loughlin"", 'Steve Bastoni', 'Robert Mammone', 'Patrick Thompson', 'William Zappa', 'John Batchelor', 'Ian Bliss', 'Brett Leonard', 'Imogen Bailey', 'James Coyne', 'Cheryl Craig']","$7,500,000 ","$143,615 ",3.59 ,3.84 
